subject,item,mode,result
Subject_12,Benno gefaellt die orange Vase,_mp_2.0,0
Subject_13,Badetag,_mp_1.0,1
Subject_13,Badetag,_mp_1.5,0
Subject_13,Badetag,_mp_2.0,0
Subject_13,Bewirken,_mp_1.0,0
Subject_13,Bewirken,_mp_1.5,0
Subject_13,Bewirken,_mp_2.0,0
Subject_13,Butterweich,_mp_1.0,1
Subject_13,Butterweich,_mp_1.5,0
Subject_13,Butterweich,_mp_2.0,1
Subject_13,Giraffe,_mp_1.0,0
Subject_13,Giraffe,_mp_1.5,1
Subject_13,Giraffe,_mp_2.0,1
Subject_13,Kakadu,_mp_1.0,1
Subject_13,Kakadu,_mp_1.5,1
Subject_13,Kakadu,_mp_2.0,1
Subject_13,Karotte,_mp_1.0,0
Subject_13,Karotte,_mp_1.5,0
Subject_13,Karotte,_mp_2.0,1
Subject_13,Kassette,_mp_1.0,0
Subject_13,Kassette,_mp_1.5,0
Subject_13,Kassette,_mp_2.0,0
Subject_13,Musiker,_mp_1.0,0
Subject_13,Musiker,_mp_1.5,0
Subject_13,Musiker,_mp_2.0,1
Subject_13,Vergessen,_mp_1.0,1
Subject_13,Vergessen,_mp_1.5,0
Subject_13,Vergessen,_mp_2.0,0
Subject_13,Zigarre,_mp_1.0,0
Subject_13,Zigarre,_mp_1.5,0
Subject_13,Zigarre,_mp_2.0,1
Subject_13,Aber sehen will sie ihn doch,_mp_1.0,1
Subject_13,Aber sehen will sie ihn doch,_mp_1.5,0
Subject_13,Aber sehen will sie ihn doch,_mp_2.0,0
Subject_13,Er sah viele bunte Regenbogen,_mp_1.0,0
Subject_13,Er sah viele bunte Regenbogen,_mp_1.5,1
Subject_13,Er sah viele bunte Regenbogen,_mp_2.0,1
Subject_13,Chabos wissen wer der Babo ist,_mp_1.0,1
Subject_13,Chabos wissen wer der Babo ist,_mp_1.5,0
Subject_13,Chabos wissen wer der Babo ist,_mp_2.0,0
Subject_13,Das Telefon ist seit sieben Tagen kaputt,_mp_1.0,0
Subject_13,Das Telefon ist seit sieben Tagen kaputt,_mp_1.5,1
Subject_13,Das Telefon ist seit sieben Tagen kaputt,_mp_2.0,1
Subject_13,Die Artikel waren wieder vorraetig,_mp_1.0,0
Subject_13,Die Artikel waren wieder vorraetig,_mp_1.5,0
Subject_13,Die Artikel waren wieder vorraetig,_mp_2.0,0
Subject_13,Die Sosse ist viermal uebergekocht,_mp_1.0,1
Subject_13,Die Sosse ist viermal uebergekocht,_mp_1.5,1
Subject_13,Die Sosse ist viermal uebergekocht,_mp_2.0,1
Subject_13,Die Strassenbahn fuhr weiter geradeaus,_mp_1.0,0
Subject_13,Die Strassenbahn fuhr weiter geradeaus,_mp_1.5,0
Subject_13,Die Strassenbahn fuhr weiter geradeaus,_mp_2.0,0
Subject_13,Diese Zeitung ist bereits veraltet,_mp_1.0,1
Subject_13,Diese Zeitung ist bereits veraltet,_mp_1.5,0
Subject_13,Diese Zeitung ist bereits veraltet,_mp_2.0,0
Subject_13,Sie faehrt keinen Ferrari sondern einen Maserati,_mp_1.0,1
Subject_13,Sie faehrt keinen Ferrari sondern einen Maserati,_mp_1.5,1
Subject_13,Sie faehrt keinen Ferrari sondern einen Maserati,_mp_2.0,1
Subject_13,Benno gefaellt die orange Vase,_mp_1.0,0
Subject_13,Benno gefaellt die orange Vase,_mp_1.5,1
Subject_13,Benno gefaellt die orange Vase,_mp_2.0,0
Subject_14,Badetag,_mp_1.0,0
Subject_14,Badetag,_mp_1.5,1
Subject_14,Badetag,_mp_2.0,1
Subject_14,Bewirken,_mp_1.0,1
Subject_14,Bewirken,_mp_1.5,1
Subject_14,Bewirken,_mp_2.0,0
Subject_14,Butterweich,_mp_1.0,0
Subject_14,Butterweich,_mp_1.5,0
Subject_14,Butterweich,_mp_2.0,0
Subject_14,Giraffe,_mp_1.0,1
Subject_14,Giraffe,_mp_1.5,1
Subject_14,Giraffe,_mp_2.0,1
Subject_14,Kakadu,_mp_1.0,1
Subject_14,Kakadu,_mp_1.5,1
Subject_14,Kakadu,_mp_2.0,1
Subject_14,Karotte,_mp_1.0,1
Subject_14,Karotte,_mp_1.5,1
Subject_14,Karotte,_mp_2.0,0
Subject_14,Kassette,_mp_1.0,1
Subject_14,Kassette,_mp_1.5,1
Subject_14,Kassette,_mp_2.0,0
Subject_14,Musiker,_mp_1.0,1
Subject_14,Musiker,_mp_1.5,0
Subject_14,Musiker,_mp_2.0,0
Subject_14,Vergessen,_mp_1.0,1
Subject_14,Vergessen,_mp_1.5,0
Subject_14,Vergessen,_mp_2.0,1
Subject_14,Zigarre,_mp_1.0,0
Subject_14,Zigarre,_mp_1.5,1
Subject_14,Zigarre,_mp_2.0,0
Subject_14,Aber sehen will sie ihn doch,_mp_1.0,0
Subject_14,Aber sehen will sie ihn doch,_mp_1.5,0
Subject_14,Aber sehen will sie ihn doch,_mp_2.0,0
Subject_14,Er sah viele bunte Regenbogen,_mp_1.0,1
Subject_14,Er sah viele bunte Regenbogen,_mp_1.5,0
Subject_14,Er sah viele bunte Regenbogen,_mp_2.0,0
Subject_14,Chabos wissen wer der Babo ist,_mp_1.0,0
Subject_14,Chabos wissen wer der Babo ist,_mp_1.5,0
Subject_14,Chabos wissen wer der Babo ist,_mp_2.0,0
Subject_14,Das Telefon ist seit sieben Tagen kaputt,_mp_1.0,1
Subject_14,Das Telefon ist seit sieben Tagen kaputt,_mp_1.5,0
Subject_14,Das Telefon ist seit sieben Tagen kaputt,_mp_2.0,1
Subject_14,Die Artikel waren wieder vorraetig,_mp_1.0,0
Subject_14,Die Artikel waren wieder vorraetig,_mp_1.5,1
Subject_14,Die Artikel waren wieder vorraetig,_mp_2.0,1
Subject_14,Die Sosse ist viermal uebergekocht,_mp_1.0,0
Subject_14,Die Sosse ist viermal uebergekocht,_mp_1.5,0
Subject_14,Die Sosse ist viermal uebergekocht,_mp_2.0,0
Subject_14,Die Strassenbahn fuhr weiter geradeaus,_mp_1.0,1
